Q1PY,Q1HZ,Q1FR,R1HZ,R1PY,R1FR,MR1HZ,MR1PY,MR1FR,MR2HZ,MR2PY,MR2FR,MR3HZ,MR3PY,MR3FR
shì Péngyǒu,是朋友,suis Ami,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Fùqīn,是父亲,suis Père,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Mǔqīn,是母亲,suis Mère,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì bàbà,是爸爸,suis Papa,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì māma,是妈妈,suis Maman,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Xiōngdì,是兄弟,suis Frère,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Jiěmèi,是姐妹,suis Sœur,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Érzi,是儿子,suis Fils,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Nǚ'ér,是女儿,suis Fille,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Shūshu,是叔叔,suis Oncle,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Yí,是姨,suis Tante,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Zhí er,是侄儿,suis Neveu,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Zhínǚ,是侄女,suis Nièce,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì biǎo xiōng,是表兄,suis Cousin,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì biǎo zǐmèi,是表姊妹,suis Cousine,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì yéyé,是爷爷,suis Grand-père,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì nǎinai,是奶奶,suis Grand-mère,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Sūnzi,是孙子,suis Petit-fils,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Sūnnǚ,是孙女,suis Petite-fille,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Nǚ péngyǒu,是女朋友,suis Petite amie,我,wŏ,Je,你,nĭ,Tu,他,tā,Il,她,tā,Elle
shì Péngyǒu,是朋友,es Ami,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì Fùqīn,是父亲,es Père,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì Mǔqīn,是母亲,es Mère,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì bàbà,是爸爸,es Papa,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì māma,是妈妈,es Maman,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì Xiōngdì,是兄弟,es Frère,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì Jiěmèi,是姐妹,es Sœur,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì Érzi,是儿子,es Fils,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
shì Nǚ'ér,是女儿,es Fille,你,nĭ,Tu,我,wŏ,Je,他,tā,Il,她,tā,Elle
