Thème,Chinese (Ling Li),Chinese (pinyin Ling Li),French
Basis I,请 ,qĭng,S'il-vous-plaît
Basis I,谢谢,xièxie,Merci
Basis I,不客气 ; 没关系,búkèqi,Je vous/t' en prie
Basis I,你好,nǐ hǎo,Salut
Basis I,您好,nín hǎo,Bonjour
Basis I,再见,zàijiàn,Au revoir 
Basis I,晚上好,wǎn shang hǎo,Bonsoir
Basis I,晚安,wǎn ān,Bonne nuit
Basis I,欢迎,huān yíng,Bienvenue
Basis I,您好吗？,nín hǎo ma?,Comment allez-vous ?
Basis I,你好吗?,Nĭ hăo ma?,Comment vas-tu?
Basis I,我很好,Wŏ hĕn hăo.,Ça va très bien!
Basis I,很好,hěn hǎo,Je vais bien
Basis I,不是很好,Bùshì hěn hǎo,Je ne vais pas très bien
